"id","stream_name","habitat_value","map_link","image_view_url","pscis_status","barrier_status","barriers_bt_dnstr","bt_network_km","bt_stream_km","bt_lakereservoir_ha","bt_wetland_ha","bt_slopeclass03_waterbodies_km","bt_slopeclass03_km","bt_slopeclass05_km","bt_slopeclass08_km","bt_slopeclass15_km","bt_spawning_km","bt_rearing_km","bt_spawning_belowupstrbarriers_km","bt_rearing_belowupstrbarriers_km","utm_easting","utm_northing","gradient_gis","road_name","outlet_drop","channel_width","assessment_comment","geometry"
"1002200002","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","24.35","21.83","0","0","2.21","4.91","3.65","3.23","9.78","1.85","4.68","0.73","1.74","497881","6093688","0.0358","","","","","[object Object]"
"1002200009","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","34.07","33.19","0","0","0.83","8.21","9.19","9.35","6.45","4.73","8.12","0.13","0.13","506485","6080579","0.0373","","","","","[object Object]"
"1002200012","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","6.99","6.22","0","0","0.69","1.57","1.52","2.23","0.81","0","1.13","0","0.21","505036","6083591","0.0403","","","","","[object Object]"
"1002200014","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","34.57","29.4","0","0","5.02","7.05","6.92","8.31","7.17","6.72","9.13","0.44","0.44","504411","6084421","0.0265","","","","","[object Object]"
"1002200022","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","3.6","3.6","0","0","0","0.22","0","2.16","1.22","0.22","1.17","0.22","0.22","499214","6104889","0.0147","","","","","[object Object]"
"1002200023","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","10.47","10.02","0","0","0.45","2.3","1.11","4.73","1.75","1.9","3.08","1.42","2.6","497847","6098592","0.0418","","","","","[object Object]"
"1002200024","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","3.96","3.96","0","0","0","0.41","0.58","1.58","1.4","0","1.45","0","1.45","498142","6099441","0.0581","","","","","[object Object]"
"1002200026","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","14.49","13.28","0","0","1.03","1.8","4.6","3.79","3.27","3.24","4.92","2.14","2.29","503364","6085983","0.0132","","","","","[object Object]"
"1002200031","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","8.38","5.16","0","0","3.16","3.78","1.38","0.06","0","1.93","3","0.77","0.77","496099","6105297","0.0082","","","","","[object Object]"
"1002200067","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","5.67","5.29","0","0","0.38","2.45","0.44","0.45","1.95","0","1.03","0","0.15","497800","6095908","0.0135","","","","","[object Object]"
"1002200071","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","9.91","7.21","0","0","2.7","5.24","1.97","0","0","0.7","4.25","0.7","4.25","497217","6097129","0","","","","","[object Object]"
"1002200072","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","173.16","132.18","0","0","39.14","50.34","27.33","38.71","15.43","27.68","50.73","14.76","22.69","497071","6098102","0.0019","","","","","[object Object]"
"1002200092","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","12.15","11.74","0","0","0.41","1.06","4.41","3.29","2.84","1.16","1.87","0.84","1.55","507462","6078614","0.0763","","","","","[object Object]"
"1002200108","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","34.19","33.3","0","0","0.83","8.32","9.19","9.35","6.45","4.85","8.24","0.12","0.12","506448","6080472","0.0042","","","","","[object Object]"
"1002200112","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","33.94","33.05","0","0","0.83","8.21","9.06","9.35","6.45","4.6","7.99","0.04","0.04","506573","6080680","0.0244","","","","","[object Object]"
"1002200114","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","36.14","30.79","0","0","5.21","8.43","6.92","8.31","7.17","7.37","9.78","0.09","0.08","503815","6084239","0.0024","","","","","[object Object]"
"1002200117","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","35.96","30.6","0","0","5.21","8.25","6.92","8.31","7.17","7.18","9.59","0.46","0.46","503985","6084283","0.0178","","","","","[object Object]"
"1002200119","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","36.01","30.66","0","0","5.21","8.3","6.92","8.31","7.17","7.24","9.65","0.06","0.06","503933","6084288","0.0178","","","","","[object Object]"
"1002200121","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","36.06","30.71","0","0","5.21","8.35","6.92","8.31","7.17","7.28","9.7","0.04","0.05","503886","6084279","0.0231","","","","","[object Object]"
"1002200151","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","7.34","3.51","0","0","3.83","0.89","1.37","0.05","1.2","0.17","2.88","0.17","2.88","494587","6099885","0.0794","","","","","[object Object]"
"1002200152","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","32.34","20.32","0","0","11.38","8.41","5.86","4.51","2.19","4.13","9.87","3.19","3.77","495774","6099086","0.0083","","","","","[object Object]"
"1002200181","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","2.02","1.56","0","0","0.46","0","0.56","0.21","0.73","0.56","1.23","0.56","1.23","468634","6094707","0.0327","","","","","[object Object]"
"1002200249","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","25.96","19.96","0","0","5.37","11.35","5.8","3.2","0","0.99","6.2","0.99","3.99","500648","6073932","0.0121","","","","","[object Object]"
"1002200282","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","18.21","17.04","0","0","1.03","4.72","3.2","3.28","4.69","2.18","3.03","2.07","2.58","490755","6075804","0","","","","","[object Object]"
"1002200294","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","10.4","7.81","0","0","2.55","3.46","0.91","2.36","1.11","0.27","1.69","0.27","1.69","495170","6077554","0.0014","","","","","[object Object]"
"1002200296","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","13.27","11.62","0","0","1.5","4.03","4.31","2.13","1.3","0.38","1.53","0.16","0.16","499271","6074900","0.069","","","","","[object Object]"
"1002200301","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","19.11","17.94","0","0","1.03","5.5","3.29","3.32","4.69","2.45","3.3","0.11","0.11","490978","6075926","0.0242","","","","","[object Object]"
"1002200310","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","152.59","128.35","0","0","23.41","36.21","27.73","42.59","20.25","9.71","22.11","3.05","9.25","495091","6075167","0.0092","","","","","[object Object]"
"1002200335","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","27.88","24.48","0","0","4.18","5.21","5.75","3.92","9.01","1.45","5.07","1.3","2.5","486031","6074923","0.0094","","","","","[object Object]"
"1002200345","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","11.01","10.93","0","0","0.08","1.22","2.27","1.03","6.41","0.15","1.57","0.05","0.27","485193","6072975","0.0022","","","","","[object Object]"
"1002200429","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","7.01","7.01","0","0","0","0.25","3.1","1","2.65","0","1.46","0","1.46","508750","6082878","0.0447","","","","","[object Object]"
"1002200433","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","31.55","30.66","0","0","0.83","7.58","8.57","8.67","5.85","3.93","7.19","1.04","1.81","507233","6080770","0.0688","","","","","[object Object]"
"1002200435","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","23.1","22.56","0","0","0.48","4.24","5.69","8.25","4.39","1.37","3.86","1.37","2.4","508562","6082876","0.0217","","","","","[object Object]"
"1002200439","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","24.61","24.08","0","0","0.48","5.75","5.69","8.25","4.39","2.89","5.38","0.44","0.43","508045","6081561","0.0599","","","","","[object Object]"
"1002200454","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","24.18","23.64","0","0","0.48","5.32","5.69","8.25","4.39","2.45","4.95","1.08","1.09","508151","6081975","0.0162","","","","","[object Object]"
"1002200470","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","20.98","18.36","0","0","2.52","2.68","3.56","7.72","4.47","0.98","3.03","0.98","2.48","508723","6084418","0.037","","","","","[object Object]"
"1002200473","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","12.25","12.13","0","0","0.12","1.15","2.12","1.62","7.23","0.06","1.11","0.06","0.66","506730","6089379","0.0292","","","","","[object Object]"
"1002200502","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","10.83","10.35","0","0","0.22","0.62","2","3.85","3.88","0.13","2.56","0.13","1.77","502989","6096711","0.0145","","","","","[object Object]"
"1002200504","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","12.6","12.36","0","0","0.16","0.74","2.42","2.34","5.99","1.57","1.57","1.57","1.57","504320","6096066","0.0286","","","","","[object Object]"
"1002200511","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","19.99","19.75","0","0","0.16","2.25","2.49","5.5","8.64","3.15","3.84","0.31","0.36","503354","6097040","0.0313","","","","","[object Object]"
"1002200518","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","14.83","14.59","0","0","0.16","2.01","2.42","2.4","6.89","2.84","2.84","1.27","1.27","503405","6096754","0.0251","","","","","[object Object]"
"1002200533","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","108.52","80.22","0","0","26.57","22.57","20.74","22.77","15.24","11.04","23.23","4.93","10.15","492394","6107989","0.1721","","","","","[object Object]"
"1002200556","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","9.74","9.74","0","0","0","0.47","2.25","1.03","5.99","0.1","1.18","0","0.12","485299","6072605","0.0354","","","","","[object Object]"
"1002200557","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","9.76","9.76","0","0","0","0.47","2.27","1.03","5.99","0.1","1.2","0","0.02","485291","6072621","0.0354","","","","","[object Object]"
"1002200561","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","9.62","9.62","0","0","0","0.47","2.13","1.03","5.99","0.1","1.06","0","0.42","485373","6072514","0.0321","","","","","[object Object]"
"1002200580","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","23.57","21.09","0","0","2.47","4.45","3.21","5.84","7.48","0.84","1.2","0.29","0.34","490755","6074807","0.0209","","","","","[object Object]"
"1002200610","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","12.24","11.83","0","0","0.41","1.15","4.41","3.29","2.84","1.26","1.96","0.1","0.09","507402","6078546","0.0235","","","","","[object Object]"
"1002200705","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","8.62","7.41","0","0","1.03","0.84","2.54","2.17","2.05","0.7","2.23","0.7","2.23","505260","6085633","0.0243","","","","","[object Object]"
"1002200721","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","11.2","8.61","0","0","2.55","3.46","1.72","2.36","1.11","1.07","2.49","0.8","0.8","494798","6076935","0.0463","","","","","[object Object]"
"1002200772","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","6.83","6.24","0","0","0.36","0.33","1.78","2.99","1.37","0","1.03","0","0.49","503995","6090058","0.054","","","","","[object Object]"
"1002200779","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","87.63","81.65","0","0","5.48","11.43","17.95","22.18","27.34","12.44","18.81","7.3","7.9","500641","6089777","0.0241","","","","","[object Object]"
"1002200790","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","17.54","17.12","0","0","0.2","2.56","2.62","2.37","9.2","1.09","2.32","0.29","1.24","499529","6093910","0.0185","","","","","[object Object]"
"1002200796","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","18.14","17.73","0","0","0.2","2.72","2.62","2.71","9.3","1.12","2.48","0.03","0.16","499375","6093880","0.0238","","","","","[object Object]"
"1002200799","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","18.6","18.19","0","0","0.2","2.81","2.99","2.71","9.3","1.12","2.94","0","0.46","499081","6094098","0.0344","","","","","[object Object]"
"1002200811","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","33.29","28.13","0","0","5.02","6.24","6.44","8.31","7.17","6.28","8.69","5.3","5.66","504762","6084674","0.003","","","","","[object Object]"
"1002200820","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","14.57","13.49","0","0","1.09","6.33","2.3","4.32","0.47","3.47","4.23","3.47","4.23","497859","6080557","0.0322","","","","","[object Object]"
"1002200856","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","3.19","2.42","0","0","0.77","2.36","0.06","0","0","0","2.22","0","1.8","499268","6071854","0","","","","","[object Object]"
"1002200910","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","33.9","33.01","0","0","0.83","8.17","9.06","9.35","6.45","4.56","7.95","0.63","0.76","506605","6080695","0.0177","","","","","[object Object]"
"1002200942","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","104.27","83.7","0","0","18.69","16.37","21.59","27.04","18.93","7.05","18.94","7.05","17.46","490168","6090081","0.0224","","","","","[object Object]"
"1002201045","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","4.95","4.73","0","0","0.15","0.44","3.13","0.51","0.72","0","1.41","0","1.36","480483","6084328","0.0568","","","","","[object Object]"
"1002201046","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","8.19","7.39","0","0","0.65","1.05","4.44","1.31","0.74","0.11","1.66","0.11","0.25","480599","6084149","0.0209","","","","","[object Object]"
"1002201050","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","3.91","2.5","0","0","0.94","0.46","0.64","0.23","1.19","0.92","1.74","0.36","0.51","468253","6094780","0.0222","","","","","[object Object]"
"1002201053","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","7.61","4.39","0","0","3.16","3.01","1.38","0.06","0","1.16","2.23","0.86","0.86","495788","6104672","0.0144","","","","","[object Object]"
"1002201057","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","18.36","15.89","0","0","1.98","5.02","4.84","1.49","4.74","1.36","2.96","1.36","2.96","491412","6108420","0.0118","","","","","[object Object]"
"1002201070","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","8.99","7.34","0","0","1.24","0.84","1.86","2.71","2.05","0.42","1.26","0.37","0.37","464970","6089679","0.037","","","","","[object Object]"
"1002201101","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","7.03","6.11","0","0","0.73","0.27","1.92","1.26","2.32","0.36","1.06","0.36","1.06","503222","6092240","0.0419","","","","","[object Object]"
"1002201105","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","16.93","16.49","0","0","0.43","3.11","3.21","3.95","5.04","2.54","3.96","2.54","3.75","504238","6091047","0.0195","","","","","[object Object]"
"1002201109","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","36.6","33.42","0","0","3.11","3.88","6.64","8.07","13.48","2.24","4.86","2.18","3.75","503978","6089934","0.0366","","","","","[object Object]"
"1002201132","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","85.28","63.63","0","0","20.25","18.53","11.57","26.3","6.58","11.53","24.6","4.32","12.09","488999","6097518","0.0047","","","","","[object Object]"
"1002201137","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","16.44","12.45","0","0","3.8","2.43","5.74","3.09","1.37","1.98","3.75","1.98","3.75","491134","6101597","0.0359","","","","","[object Object]"
"1002201141","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","19.66","17.19","0","0","1.98","5.45","5.7","1.49","4.75","1.71","3.31","0.35","0.35","491596","6108121","0.0207","","","","","[object Object]"
"1002201173","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","4.7","4.6","0","0","0.1","1.24","0","1.31","1.55","0","1.54","0","1.54","459325","6084900","0.0587","","","","","[object Object]"
"1002201206","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","5.13","5.04","0","0","0.1","1.24","0","1.75","1.55","0","1.98","0","0.44","459153","6085179","0.0556","","","","","[object Object]"
"1002201279","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","83.24","75.12","0","0","7.99","13.36","17.15","28.46","14.68","5.65","10.02","4.64","7.46","494691","6071358","0.0168","","","","","[object Object]"
"1002201281","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","69.44","55.6","0","0","12.54","4.92","6.96","15.6","25.27","6.3","20.14","0.71","5.81","476878","6099136","0.0127","","","","","[object Object]"
"1002201294","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","142.19","112.72","0","0","27.27","26.06","19.08","32.22","33.18","15.66","35.95","9.69","23.55","468011","6082331","0","","","","","[object Object]"
"1002201302","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","127","100.62","0","0","24.6","45.12","31.19","21.49","4.35","8.25","28.31","0.62","2.88","497788","6080450","0.0027","","","","","[object Object]"
"1002201306","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","8.95","8.95","0","0","0","1.74","5.75","0.49","0.97","1.39","1.39","1.39","1.39","491628","6095503","0.0331","","","","","[object Object]"
"1002201350","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_.pdf","","","POTENTIAL","{}","9.01","7.8","0","0","1.03","1.23","2.54","2.17","2.05","1.1","2.63","0.4","0.4","505250","6085996","0.0243","","","","","[object Object]"
