no_fish_caught,unidentified_species,angling,beaver_dam,id,name,code
No Mussel (Freshwater General)  Found,Unidentifiable Trout - only fry <70mm in length,angler report,crossing (general),4960,"ABR, Inc.",C1580
Unidentified Species,American Shad,boat,bridge,2276,Acer Resource Consulting Ltd.,C049
Unidentifiable Trout - only fry <70mm in length,Arctic Char,boat electrofishing,cascade or Chute,936,Acres Consulting,C061
American Shad,Arctic Cisco,creel census,canyon,937,Adland Environmental,C062
Arctic Char,Arctic Grayling,dead capture,conduit,5225,AECOM Canada Ltd.,C1845
Arctic Cisco,Atlantic Salmon,dip netting,culvert,3740,Aestech Consulting Inc.,C360
Arctic Grayling,Bass/Sunfish (General),electrofishing,dam (general),938,Agra Earth and Environmental Ltd.,C063
Atlantic Salmon,Black Bullhead,fish weir,dewatering,1317,AIM Ecological Consultants Ltd.,C018
Bass/Sunfish (General),Black Crappie,gill netting,ditch/diversion channel,4240,AMEC Earth and Environmental,C860
Black Bullhead,Bluegill,hydraulic sampling,enhancement (general unspecified),4100,Applied Aquatic Research Ltd.,C720
Black Crappie,Brassy Minnow,minnow trapping,erosion/sedimentation,976,Applied Ecosystem Management,C064
Bluegill,Bridgelip Sucker,rotary screw trap,falls,977,Appropriate Forestry Services Ltd.,C065
Brassy Minnow,Broad Whitefish,seining,fence,978,Aquafor Consulting Ltd.,C066
Bridgelip Sucker,Brook Stickleback,setline,fisheries sensitive zone,2236,Aquamarine Ecological Consulting,C047
Broad Whitefish,Brook Trout,swimming/snorkeling,fishway,979,Aquametrix Research Ltd.,C067
Brook Stickleback,Brown Bullhead,trap net,ford,980,Aquaterra Consultants,C068
Brook Trout,Brown Trout,visual observation above water,groundwater (field evidence),981,Aquatic Environment Ltd.,C053
Brown Bullhead,Bull Trout,method unknown,hatchery,982,Aquatic Resources,C004
Brown Trout,Bullhead (General),,hydro dam,4320,Aquila Developments Inc.,C940
Bull Trout,Burbot,,landslide or bank sloughing,983,ARC Environmental Ltd.,C069
Bullhead (General),Carp (General),,livestock Water Supply,984,Archipelago Marine Research Ltd.,C070
Burbot,Char (General),,LWD Jam,2316,Ardea Biological Consulting,C174
Carp (General),Charlotte Unarmoured Stickleback,,rock outcrop,985,Aresco Ltd.,C054
Char (General),Chinook Salmon,,sinkhole,4920,Arran Environmental Consulting Partnership,C1540
Charlotte Unarmoured Stickleback,Chiselmouth,,slide - debris,4662,Arran Environmental Services,C1282
Chinook Salmon,Chub (General),,slump,986,Artech Consulting Ltd.,C071
Chiselmouth,Chum Salmon,,spawning channel,2665,Aspen Planer,C191
Chub (General),Coastal Cutthroat Trout,,spring,2337,Avid Investments Inc.,C097
Chum Salmon,Coastrange Sculpin,,Subsurface flow,1957,Avison Management Services Ltd.,C036
Coastal Cutthroat Trout,Coho Salmon,,tributary,1358,Axys Environmental Consulting Ltd.,C022
Coastrange Sculpin,Columbia Sculpin,,velocity barrier,4940,Azimuth Forestry & Mapping Solutions,C1560
Coho Salmon,Common Carp,,wedge,1674,BC Conservation Foundation,C034
Columbia Sculpin,Cultus Lake Pygmy Sculpin,,,1419,BC Forest Service,C029
Common Carp,Cutthroat Trout (General),,,1101,BC Hydro,C005
Cultus Lake Pygmy Sculpin,Cutthroat Trout /Rainbow Trout  hybrid,,,5301,BC Ministry of Environment,C1921
Cutthroat Trout (General),Dace (General),,,988,BC Provincial Museum,C006
Cutthroat Trout /Rainbow Trout  hybrid,Dolly Varden,,,989,BC Research (Vancouver),C020
Dace (General),Dolly Varden/Bull Trout hybrid (Verified),,,990,Beak Consultants,C052
Dolly Varden,Emerald Shiner,,,991,Bella Coola Grizzly Holdings Ltd.,C073
Dolly Varden/Bull Trout hybrid (Verified),Enos Lake Benthic Stickleback,,,992,Bernard Contracting,C085
Emerald Shiner,Enos Lake Limnetic Stickleback,,,4160,Big Pine Heritage Consulting & Research Ltd.,C780
Enos Lake Benthic Stickleback,Eulachon,,,994,BioLith Scientific Consultants Inc.,C074
Enos Lake Limnetic Stickleback,Fathead Minnow,,,3920,BioScape Environmental,C540
Eulachon,Finescale Dace,,,993,Bio-Systems,C003
Fathead Minnow,Flathead Chub,,,995,BioTerra Consulting,C179
Finescale Dace,Floater Mussel species (General),,,996,Burt and Associates,C083
Flathead Chub,Giant Black Stickleback,,,1954,Calabar Environmental Consultants,C180
Floater Mussel species (General),Giant Pygmy Whitefish,,,5020,Cambria Gordon Ltd,C1640
Giant Black Stickleback,Goldeye,,,997,Canadian Forest Products,C007
