rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
5,2022-08-14,,16603769,AI MW,10,537168,6075496,tributary to Anzac River,Fern Valley Rd,,Canfor R09333 UO6_1,Open Bottom Structure,Bridge,15.3,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"Bridge, overgrown vegetation at inlet and outlet. 16:35:00",pscis_phase1.xlsm,1016603769,16:35:00,,AI,16603769
6,2022-08-15,,16601271,AI,10,535101,6068381,Fern Creek,Spur,,Unclassified,Other,Ford,,,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Unknown,,,No ford or crossing. This appears to be the end of the accessible remnants of this rough ATV road. 17:06,pscis_phase1.xlsm,1016601271,17:06,2022-08-15T17:06:00Z,AI,16601271
7,2022-08-17,,2022081750,MW  AI,10,575104,6051021,tributary to Missinka River,Chuchinka-missinka FSR,,MoF 5506 11,Other,Ford,,,,,,,,,,,,,,,Yes,No,,,0,0,0,0,0,0,0,Unknown,,,Located at a quad trail. 13:53,pscis_phase1.xlsm,2022081750,13:53,2022-08-17T13:53:00Z,MW,2022081750
8,2022-08-14,,372413,AI NP,10,519726,6067781,tributary to Altazega Creek,Firth Lake FSR,8,MoF 8385 01,Open Bottom Structure,Bridge,23.5,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,This site is located in the Crooked River watershed. 10:09:00,pscis_phase1.xlsm,1000372413,10:09:00,,AI,372413
5,2022-08-17,125194,,MW AI,10,563293,6050578,Tributary to Missinka River,Chuchinka-Missinka FSR,1263,MoF 5506 11 0,Closed Bottom Structure,Round Culvert,1.8,30,No,,No,No,,4,1.1,0.3,Yes,2,2.4,2,No,No,Deep Fill,Medium,1.3,6,10,10,5,6,37,Barrier,Replace with New Open Bottom Structure,15,"Very narrow cascade at outlet, big outlet drop. Good size pools downstream. Upstream has evenly distributed shale. Lots of functional woody debris.",pscis_phase2.xlsm,125194,,,MW,125194
6,2022-08-14,6745,,MW AI,10,533992,6076165,Tributary to Anzac River,Chuchinka-Crocker FSR,3,MoF 5506 22 0,Closed Bottom Structure,Round Culvert,1.6,14,No,,No,No,,0.6,0,0,No,1,1.5,2,No,No,Deep Fill,Medium,0.9,0,10,0,5,0,15,Potential,Replace Structure with Streambed Simulation CBS,3,Damaged near outlet. Small stream but flowing. Middle of pipe filled with fines.,pscis_phase2.xlsm,6745,,,MW,6745
7,2022-08-15,125261,,MW AI,10,534600,6067770,Fern Creek,Chuchinka-Table FSR,2,MoF 5506 08 0,Closed Bottom Structure,Round Culvert,2.1,5,No,,No,No,,0.8,0.4,0.4,No,1.5,5.1,2,No,No,Deep Fill,High,2.4,0,10,10,5,6,31,Barrier,Replace with New Open Bottom Structure,15,Culvert has baffles in it but has significant riprap at the outlet that creates cascade approximately 0.5 m high.,pscis_phase2.xlsm,125261,,,MW,125261
5,2022-08-14,6824,,MW AI,10,536665,6076345,Tributary to Anzac River,Chuchinka-Crocker FSR,5.5,Canfor R09333 B,Closed Bottom Structure,Round Culvert,1.6,14,No,,No,Yes,100,1.2,0,0.6,No,1.5,3,0.5,Yes,No,Deep Fill,Medium,1.9,0,10,0,5,6,21,Barrier,Replace with New Open Bottom Structure,15,Channel with and gradient estimated. Culvert is fully backwatered due to beaver dams at this time and passable but might be a good idea to assess flow velocities in the spring at higher flows.  Habitat confirmation could be conducted to get an idea of fish values and habitat values to inform if  are an issue.,pscis_reassessments.xlsm,6824,,,MW,6824
6,2022-08-14,6731,,MW,10,532823,6072543,Tributary to Anzac River,Chuchinka-Colbourne FSR,,MoF 5506 04 0,Open Bottom Structure,Bridge,12,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,Bridge was recently installed since 2019.,pscis_reassessments.xlsm,6731,,,MW,6731
7,2022-08-15,125000,,MW AI,10,577540,6038199,Tributary to Parsnip River,Chuchinka-Arctic FSR,779,MoF 5506 10 0,Closed Bottom Structure,Round Culvert,1.5,18,No,,No,No,,2.5,0.6,2,No,2,4.52,1.5,No,Yes,Deep Fill,Medium,3,3,10,10,5,6,34,Barrier,Replace with New Open Bottom Structure,15,Habitat survey done with drone.,pscis_reassessments.xlsm,125000,,,MW,125000
