reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments
7,Tributary to Parsnip River,125000_us_ef1,00000PARS,0,7,13.1,49,clear,electrofishing,1,1,167,8,2,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,2,36,38,,
7,Tributary to Parsnip River,125000_us_ef1,00000PARS,0,7,13.1,49,clear,electrofishing,1,1,167,8,2,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,1,82,82,,
7,Tributary to Parsnip River,125000_us_ef1,00000PARS,0,7,13.1,49,clear,electrofishing,1,1,167,8,2,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,adult,,1,148,148,,
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,13.1,49,clear,electrofishing,1,1,283,23,3.27,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Sculpin (General),,,1,78,78,,Not salmonids so no life stage specified.
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,13.1,49,clear,electrofishing,1,1,283,23,3.27,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,2,40,43,,
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,13.1,49,clear,electrofishing,1,1,283,23,3.27,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,1,80,80,,
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,13.1,49,clear,electrofishing,1,1,283,23,3.27,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,juvenile,,5,112,135,,
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,13.1,49,clear,electrofishing,1,1,472,21,2.9,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Sculpin (General),,,1,48,48,,Not salmonids so no life stage specified.
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,13.1,49,clear,electrofishing,1,1,472,21,2.9,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,1,39,39,,
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,13.1,49,clear,electrofishing,1,1,472,21,2.9,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,2,89,91,,
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,13.1,49,clear,electrofishing,1,1,472,21,2.9,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,juvenile,,2,102,109,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,13.1,49,clear,electrofishing,1,1,264,28,3.2,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Sculpin (General),,,4,45,68,,Not salmonids so no life stage specified.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,13.1,49,clear,electrofishing,1,1,264,28,3.2,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,20,33,49,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,13.1,49,clear,electrofishing,1,1,264,28,3.2,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,10,72,99,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,13.1,49,clear,electrofishing,1,1,264,28,3.2,Open,450,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,juvenile,,6,101,130,,
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,13.1,49,clear,electrofishing,1,1,131,7,3.04,Open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Sculpin (General),,,2,46,60,,Not salmonids so no life stage specified.
11,Tributary to Parsnip River,125000_ds_ef2,00000PARS,0,11,13.1,49,clear,electrofishing,1,1,131,7,3.04,Open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,3,37,41,,
