reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
7,Tributary to Parsnip River,125000_us_ef1,00000PARS,0,7,electrofishing,1,1,Rainbow Trout,148,36.4,,,,,,,,3DD.003E1929F2. Row ID 1.
7,Tributary to Parsnip River,125000_us_ef1,00000PARS,0,7,electrofishing,1,1,Rainbow Trout,82,5.2,,,,,,,,3DD.003E1929FC. Row ID 2.
7,Tributary to Parsnip River,125000_us_ef1,00000PARS,0,7,electrofishing,1,1,Rainbow Trout,38,0.6,,,,,,,,
7,Tributary to Parsnip River,125000_us_ef1,00000PARS,0,7,electrofishing,1,1,Rainbow Trout,36,0.6,,,,,,,,
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,electrofishing,1,1,Rainbow Trout,118,11.5,,,,,,,,3DD.003E1929FD. Row ID 3.
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,electrofishing,1,1,Rainbow Trout,113,15.7,,,,,,,,3DD.003E1929E6. Row ID 4.
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,electrofishing,1,1,Rainbow Trout,129,23,,,,,,,,3DD.003E1929F9. Row ID 5.
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,electrofishing,1,1,Sculpin (General),78,4.4,,,,,,,,
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,electrofishing,1,1,Rainbow Trout,112,13.6,,,,,,,,3DD.003E1929DF. Row ID 6.
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,electrofishing,1,1,Rainbow Trout,135,25.3,,,,,,,,3DD.003E1929D4. Row ID 7.
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,electrofishing,1,1,Rainbow Trout,80,5.2,,,,,,,,3DD.003E1929F7. Row ID 8.
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,electrofishing,1,1,Rainbow Trout,40,0.7,,,,,,,,
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,electrofishing,1,1,Rainbow Trout,43,0.8,,,,,,,,
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,electrofishing,1,1,Rainbow Trout,109,14,,,,,,,,3DD.003E1929F3. Row ID 9.
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,electrofishing,1,1,Rainbow Trout,89,8.099999999999998,,,,,,,,3DD.003E1929C1. Row ID 10.
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,electrofishing,1,1,Rainbow Trout,91,8.199999999999998,,,,,,,,3DD.003E1929F5. Row ID 11.
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,electrofishing,1,1,Rainbow Trout,102,11.1,,,,,,,,3DD.003E1929F4. Row ID 12.
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,electrofishing,1,1,Rainbow Trout,39,0.7,,,,,,,,
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,electrofishing,1,1,Sculpin (General),48,1.6,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,99,9.6,,,,,,,,3DD.003E1929EB. Row ID 13.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,121,18.6,,,,,,,,3DD.003E1929E9. Row ID 14.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,130,27.8,,,,,,,,3DD.003E1929CE. Row ID 15.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,89,7.8,,,,,,,,3DD.003E1929FE. Row ID 16.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,101,10.6,,,,,,,,3DD.003E1929E3. Row ID 17.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,89,7.5,,,,,,,,3DD.003E1929D9. Row ID 18.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,78,4.9,,,,,,,,3DD.003E1929CD. Row ID 19.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,82,6.2,,,,,,,,3DD.003E1929C9. Row ID 20.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,72,4.1,,,,,,,,3DD.003E1929C5. Row ID 21.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Sculpin (General),45,1.1,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,96,9.4,,,,,,,,3DD.003E1929D7. Row ID 22.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,115,15.9,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,108,13.3,,,,,,,,3DD.003E1929E0. Row ID 23.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,84,6.3,,,,,,,,3DD.003E1929DE. Row ID 24.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Sculpin (General),68,3.5,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,89,8,,,,,,,,3DD.003E1929D6. Row ID 25.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,78,5.1,,,,,,,,3DD.003E1929E5. Row ID 26.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,105,12,,,,,,,,3DD.003E1929FA. Row ID 27.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,39,0.7,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,43,0.9,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,42,0.8,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,43,0.8,,,,,,,,
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,electrofishing,1,1,Rainbow Trout,42,0.7,,,,,,,,
