reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,Tributary to Parsnip River,6745_ds,00000PARS,0,1,1.1,1.3,1.2,1,1.4,1.4,1,1.2,metre tape,1,1,1,0.7,1,1,1,0.9571428571428573,metre tape,,,,,,,,,,0.35,0.35,0.35,,0.3499999999999999,metre stick,0.5,,,,0.005,clinometer,moderate,,11,recording meter,102,recording meter,7.9,pH meter (general),clear,abundant,sub-dominant,sub-dominant,none,dominant,none,sub-dominant,none,41-70%,few,evenly distributed,mosses,sloping,fines,,shrubs,shrub,V-shaped,fines,,shrubs,shrub,gravels,fines,,2,,sinuous,Decoupled,occasionally confined,,,,,,,,,Moderate to low value habitat due to low flow volumes and lack of pools. Surveyed downstream for 200 m. Smaller and narrower than upstream. Abundant undercut banks for juvenile rearing. Small gravels suitable for smaller fish.
2,Tributary to Parsnip River,6745_us,00000PARS,0,2,1.5,1.6,1.4,1,1.8,1.5,1.6,1.4857142857142858,metre tape,0.8,0.7,1.1,0.7,1.4,0.9,1.6,1.0285714285714285,metre tape,0.15,0.24,0.2,0.44,,,,0.2575,metre stick,0.32,0.34,0.3,,0.32,metre stick,1,2,2,,0.016666666666666666,clinometer,moderate,,11,recording meter,102,recording meter,7.9,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,none,41-70%,few,evenly distributed,mosses,V-shaped,fines,,shrubs,shrub,undercut,fines,,mixed forest,mature forest,gravels,fines,,3,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,"Moderate value habitat.  Surveyed upstream for 550 m. Small perennial stream. Abundant gravel present, suitable for resident rainbow. Some deep pools up to 45 cm suitable for rearing, nice undercut banks. Larger gravel about 30 cm in size."
3,Fern Creek,125261_ds,00000PARS,0,3,4.5,5.4,5.9,4.8,8,5,,5.6000000000000005,metre tape,2,4.3,4.6,2.9,6,5,,4.133333333333333,metre tape,0.3,0.25,0.3,,,,,0.2833333333333334,metre stick,0.3,1,,,0.65,metre stick,1,0.5,1.5,1,0.01,clinometer,low,,17,recording meter,235,recording meter,8.429999999999998,pH meter (general),Clear,moderate,sub-dominant,trace,none,trace,dominant,sub-dominant,sub-dominant,,few,evenly distributed,,V-shaped,fines,,wetland,not applicable,sloping,fines,,deciduous forest,mature forest,gravels,fines,,,,sinuous,Decoupled,unconfined,,,,,,,,,High value habitat. Extensive gravels in first 150 m downstream then transitions to wetland type with depths to 1 m on floodplain of table. Both gps' nad cameras used.
4,Fern Creek,125261_us,00000PARS,0,4,5.1,5.4,4.4,10.9,6.5,5.2,5.8,6.185714285714285,metre tape,3.2,4.4,3.1,5.4,4.8,3.7,5.3,2.4,metre tape,0.47,0.4,0.35,0.5,0.66,0.5,0.35,0.46142857142857135,metre stick,0.55,0.5,0.5,,0.5166666666666667,metre stick,2.5,2.5,2,,0.02333333333333333,clinometer,low,,17,recording meter,235,recording meter,8.4,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,none,sub-dominant,dominant,sub-dominant,none,1-20%,few,evenly distributed,none,sloping,fines,,shrubs,shrub,undercut,fines,,mixed forest,mature forest,gravels,cobbles,,,,sinuous,Decoupled,occasionally confined,,,,,,,,,"High value habitat. Surveyed upstream for 250 m. Large stream with abundant gravel suitable for spawning, deep pools for overwintering. Numerous fish observed, stable with large woody debris throughout, numerous undercut banks."
5,Tributary to Missinka River,125194_ds,00000PARS,0,5,2.2,2.8,2.8,3.2,3.3,2.8,2.4,2.7857142857142856,metre tape,0.9,1.5,1.7,2.1,,,,2.5,metre tape,0.15,0.45,0.4,0.35,0.4,,,0.35,metre stick,0.45,0.5,0.5,,0.4833333333333333,metre stick,2,5,1.5,,0.028333333333333332,clinometer,low,,10,recording meter,180,recording meter,8,pH meter (general),Clear,moderate,dominant,sub-dominant,trace,trace,trace,sub-dominant,trace,1-20%,abundant,clumped,algae,V-shaped,fines,,shrubs,shrub,V-shaped,gravels,,mixed forest,mature forest,gravels,fines,,,,sinuous,Decoupled,occasionally confined,,,,,,,,,Medium value habitat. Lots of LWD and SWD that can provide cover. Some undercut banks and pools that are suitable for rearing. Fines and gravels throughout suitable for spawning.
6,Tributary to Missinka River,125194_us,00000PARS,0,6,3.4,3.1,3.9,3.4,3.5,3.2,,3.4166666666666665,metre tape,3,1.2,1.6,3,2.9,3.4,,2.516666666666667,metre tape,0.32,0.55,0.3,0.3,0.6,,,0.414,metre stick,0.55,0.3,0.25,0.27,0.3425,metre stick,4.5,9,5,,0.06166666666666666,clinometer,low,,10,recording meter,180,recording meter,8,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,none,21-40%,few,evenly distributed,mosses,undercut,fines,,mixed forest,mature forest,sloping,fines,,deciduous forest,mature forest,cobbles,fines,,,riffle-pool,sinuous,Decoupled,occasionally confined,beaver dam,1.6,3,metre stick,10,562673,6050674,,Medium value habitat. Water is tinged brown likely from beaver activity upstream. No gravels suitable for spawning and substrate is composed primarily of angular rock. Several rock steps of 50-60 high (in first 300m) that would prevent upstream juvenile salmonid migration. Large beaver dam and empoundment at modelled crossing 16601526.
7,Tributary to Parsnip River,125000_us_ef1,00000PARS,0,7,,,,,,,,,metre tape,2,2,,,,,,2,metre tape,,,,,,,,,metre stick,,,,,,metre stick,1,,,,0.01,clinometer,,,13,recording meter,49,recording meter,7.5,pH meter (general),Clear,,,,,,,,,,,,,,,,,,,,,,,gravels,cobbles,,,,,,,,,,,,,,,Primarily riffle with shallow refuge.
8,Tributary to Parsnip River,125000_us_ef2,00000PARS,0,8,,,,,,,,,metre tape,2.7,3.8,4.5,3.6,3.1,1.9,,3.2666666666666666,metre tape,,,,,,,,,metre stick,,,,,,metre stick,2,,,,0.02,clinometer,,,13,recording meter,49,recording meter,7.5,pH meter (general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tributary to Parsnip River,125000_us_ef3,00000PARS,0,9,,,,,,,,,metre tape,2.8,1.4,2.9,3.9,3.7,,,2.94,metre tape,,,,,,,,,metre stick,,,,,,metre stick,1,,,,0.01,clinometer,,,13,recording meter,49,recording meter,7.5,pH meter (general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly shallow glide with undercut banks and overhanging vegetation on one bank. Top of site at 13:43:00.
10,Tributary to Parsnip River,125000_ds_ef1,00000PARS,0,10,,,,,,,,,metre tape,2,2.7,4.3,3.9,3.2,,,3.22,metre tape,,,,,,,,,metre stick,,,,,,metre stick,2.5,,,,0.025,clinometer,moderate,,13,recording meter,49,recording meter,7.5,pH meter (general),Clear,,sub-dominant,sub-dominant,none,dominant,sub-dominant,trace,none,1-20%,,,,undercut,fines,,shrubs,shrub,sloping,gravels,,shrubs,shrub,cobbles,gravels,,,,,,,,,,,,,,,Top of site- 15:03:10    Bottom of site- 15:54:30
